Date,GSCI,SP,Ratio
16/11/99,195.85,1420.07,0.137915948
17/11/99,197.40,1410.71,0.139933012
18/11/99,193.92,1424.94,0.136088327
19/11/99,196.55,1422.00,0.13821962
22/11/99,198.92,1420.94,0.139991766
23/11/99,197.04,1404.64,0.140274519
24/11/99,198.31,1417.08,0.139940794
26/11/99,197.98,1416.62,0.139751804
29/11/99,194.77,1407.83,0.138348593
30/11/99,189.66,1388.91,0.13655478
01/12/99,190.98,1397.72,0.136635235
02/12/99,194.50,1409.04,0.138037103
03/12/99,194.02,1433.30,0.13536845
06/12/99,196.77,1423.33,0.138243345
07/12/99,194.64,1409.17,0.138124925
08/12/99,195.08,1403.88,0.138960452
09/12/99,192.23,1408.11,0.136517673
10/12/99,189.49,1417.04,0.133721419
13/12/99,189.72,1415.22,0.134053363
14/12/99,192.11,1403.17,0.136908286
15/12/99,193.99,1413.32,0.137260422
16/12/99,197.22,1418.78,0.139009219
17/12/99,197.77,1421.03,0.139176583
20/12/99,197.73,1418.09,0.139435579
21/12/99,196.50,1433.43,0.137085871
22/12/99,193.81,1436.13,0.134953799
23/12/99,195.24,1458.34,0.133875571
27/12/99,195.90,1457.10,0.134448425
28/12/99,197.57,1457.66,0.135540249
29/12/99,197.28,1463.46,0.134805734
30/12/99,194.54,1464.47,0.132837955
31/12/99,194.54,1469.25,0.132405785
03/01/00,194.22,1455.22,0.133466898
04/01/00,192.37,1399.42,0.137462163
05/01/00,190.52,1402.11,0.135879853
06/01/00,190.42,1403.45,0.135680929
07/01/00,188.55,1441.47,0.130805913
10/01/00,189.83,1457.60,0.130233878
11/01/00,193.46,1438.56,0.134483233
12/01/00,195.76,1432.25,0.136677535
